City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Maximum Temperature,Wind Speed
Iralaya,72,HN,1646454560,83,15.0,-83.2333,75.85,10.45
Cherskiy,78,RU,1646454561,97,68.75,161.3,-14.58,2.53
Hilo,100,US,1646454409,82,19.7297,-155.09,74.93,10.36
Cidreira,6,BR,1646454562,92,-30.1811,-50.2056,76.06,13.13
La Paz,40,BO,1646454292,87,-16.5,-68.15,49.98,8.05
Busselton,0,AU,1646454562,39,-33.65,115.3333,82.04,5.3
Betong,42,TH,1646454563,57,5.7743,101.0723,87.24,0.81
Kemijärvi,100,FI,1646454564,81,66.7131,27.4306,20.35,8.61
Itaituba,100,BR,1646454564,99,-4.2761,-55.9836,73.0,1.3
Sorong,81,ID,1646454565,71,-0.8833,131.25,83.68,7.16
Guerrero Negro,0,MX,1646454565,74,27.9769,-114.0611,59.85,16.96
Ada,0,US,1646454566,63,43.4166,-116.1262,38.28,9.22
Bocas del Toro,100,PA,1646454566,74,9.3333,-82.25,77.43,4.43
San Cristobal,90,VE,1646454567,89,7.7669,-72.225,66.38,1.97
Antofagasta,7,CL,1646454567,79,-23.65,-70.4,67.28,3.85
Kumul,70,CN,1646454568,30,42.8,93.45,46.74,2.59
Port Hawkesbury,0,CA,1646454568,81,45.6169,-61.3485,12.58,11.5
Karasjok,100,NO,1646454569,96,69.4719,25.5112,21.31,5.26
Yulara,12,AU,1646454569,29,-25.2406,130.9889,89.44,16.11
Nikolskoye,97,RU,1646454363,99,59.7035,30.7861,17.78,3.65
Ribeira Grande,72,PT,1646454570,94,38.5167,-28.7,61.86,8.55
Kātpādi,98,IN,1646454571,45,12.9833,79.1333,81.07,8.81
Dhidhdhoo,96,MV,1646454571,67,6.8833,73.1,81.19,4.83
Lanigan,100,CA,1646454572,96,51.8501,-105.0344,15.69,7.18
Bagé,0,BR,1646454572,88,-31.3314,-54.1069,71.38,5.75
Chapais,100,CA,1646454314,94,49.7834,-74.8492,-7.82,7.56
Raudeberg,100,NO,1646454573,85,61.9875,5.1352,39.2,19.66
George Town,40,MY,1646454200,77,5.4112,100.3354,85.95,6.91
Viedma,0,AR,1646454574,55,-40.8135,-62.9967,60.84,11.39
Kruisfontein,0,ZA,1646454574,84,-34.0033,24.7314,55.89,4.25
Khalkhāl,17,IR,1646454575,62,37.6189,48.5258,27.41,7.87
Nokaneng,99,BW,1646454575,86,-19.6667,22.2667,69.75,4.32
Copiapó,0,CL,1646454576,70,-27.3667,-70.3333,68.52,2.15
Ligayan,100,PH,1646454576,77,4.6533,119.4706,80.89,2.44
Kavaratti,95,IN,1646454577,60,10.5669,72.642,83.59,7.4
Bathsheba,40,BB,1646454577,73,13.2167,-59.5167,77.61,25.32
Östersund,100,SE,1646454578,92,63.1792,14.6357,12.65,2.3
Santa Cruz de la Sierra,3,BO,1646454578,94,-17.8,-63.1667,74.66,4.61
Tracy,2,US,1646454579,63,37.7397,-121.4252,49.17,11.99
Namatanai,56,PG,1646454579,66,-3.6667,152.4333,85.77,6.67
Tuatapere,99,NZ,1646454580,46,-46.1333,167.6833,71.82,2.68
Mar del Plata,100,AR,1646454319,93,-38.0023,-57.5575,66.22,9.22
Avarua,97,CK,1646454581,74,-21.2078,-159.775,82.45,4.61
Agüimes,75,ES,1646454581,67,27.9054,-15.4461,59.63,21.85
Fare,12,PF,1646454582,73,-16.7,-151.0167,81.5,15.7
Pevek,99,RU,1646454582,98,69.7008,170.3133,-12.44,2.15
Mozelos,100,PT,1646454583,75,41.8677,-8.3978,44.89,3.04
Bambous Virieux,75,MU,1646454583,83,-20.3428,57.7575,80.85,8.05
Kondol',100,RU,1646454584,90,52.8189,45.058,28.18,19.89
San Quintín,4,MX,1646454584,83,30.4833,-115.95,57.09,9.1
Rudolfov,10,CZ,1646454585,84,48.9934,14.5418,30.79,3.0
Lebu,0,CL,1646454585,79,-37.6167,-73.65,55.0,15.93
Springbok,1,ZA,1646454586,60,-29.6643,17.8865,58.48,5.99
Port Moresby,40,PG,1646454586,63,-9.4431,147.1797,85.71,7.09
Bundaberg,75,AU,1646454587,78,-24.85,152.35,86.29,7.0
Srednekolymsk,75,RU,1646454588,92,67.45,153.6833,-6.09,5.06
Lavrentiya,100,RU,1646454588,87,65.5833,-171.0,14.23,11.81
Port Lincoln,100,AU,1646454589,73,-34.7333,135.8667,66.22,16.55
Vaini,75,TO,1646454589,83,-21.2,-175.2,82.56,8.05
Dzerzhinsk,75,RU,1646454590,69,56.2389,43.4631,28.22,13.42
Esim,66,GH,1646454591,87,4.8699,-2.2405,78.62,5.77
Nizhniy Kuranakh,99,RU,1646454591,77,58.8353,125.4869,10.0,4.99
Bria,33,CF,1646454592,50,6.5423,21.9863,73.36,1.07
Richards Bay,11,ZA,1646454592,88,-28.783,32.0377,69.01,5.32
Torbay,40,CA,1646454593,75,47.6666,-52.7314,14.58,17.27
Korla,66,CN,1646454593,31,41.7597,86.1469,45.39,4.94
Flinders,98,AU,1646454594,80,-34.5833,150.8552,85.12,5.01
Thompson,0,CA,1646454393,78,55.7435,-97.8558,1.56,2.3
Mahon,0,ES,1646454594,71,39.8885,4.2658,52.36,14.97
Maïné Soroa,97,NE,1646454595,10,13.2114,12.0241,77.09,9.06
Sur,66,OM,1646454595,50,22.5667,59.5289,75.87,7.09
Puerto Limón,98,CR,1646454596,80,10.0,-83.0333,74.98,5.32
Hundorp,98,NO,1646454597,96,61.5552,9.9407,6.39,3.53
Ponta do Sol,69,PT,1646454597,58,32.6667,-17.1,59.63,6.06
San Patricio,0,US,1646454598,88,28.017,-97.5169,69.66,11.5
Rocha,64,UY,1646454598,93,-34.4833,-54.3333,68.32,6.44
Tuktoyaktuk,0,CA,1646454598,84,69.4541,-133.0374,-4.0,5.75
Esmeraldas,70,BR,1646454599,91,-19.7625,-44.3139,71.91,4.63
Esperance,100,AU,1646454599,68,-33.8667,121.9,73.24,11.61
Santa Vitória do Palmar,90,BR,1646454600,95,-33.5189,-53.3681,71.11,6.06
Khatanga,96,RU,1646454601,94,71.9667,102.5,-16.2,9.78
Matagami,0,CA,1646454602,66,49.7502,-77.6328,1.51,5.75
Henties Bay,10,NA,1646454603,90,-22.116,14.2845,60.85,2.8
Pacific Grove,22,US,1646454604,72,36.6177,-121.9166,49.08,11.99
Ariyalūr,100,IN,1646454605,43,11.1333,79.0833,82.56,13.91
Puerto Rondón,71,CO,1646454606,69,6.2805,-71.1,79.86,4.76
Saint-Philippe,100,RE,1646454607,86,-21.3585,55.7679,80.19,13.58
Bambanglipuro,81,ID,1646454608,70,-7.95,110.2833,90.34,9.13
Tāndā,0,IN,1646454609,33,26.55,82.65,80.11,12.68
Ivankiv,100,UA,1646454609,84,50.9386,29.8943,29.61,11.56
Kambove,97,CD,1646454610,97,-10.8764,26.5969,61.9,2.24
Mahanoro,17,MG,1646454615,85,-19.9,48.8,78.6,9.08
Baghdad,9,IQ,1646454348,57,33.3406,44.4009,46.31,3.44
East London,0,ZA,1646454545,88,-33.0153,27.9116,63.54,3.44
Jiuquan,17,CN,1646454615,21,39.7432,98.5174,47.28,2.44
Moose Factory,0,CA,1646454616,65,51.2585,-80.6094,-2.22,5.75
Manicoré,100,BR,1646454616,98,-5.8092,-61.3003,72.21,0.78
Geraldton,37,AU,1646454617,15,-28.7667,114.6,93.61,13.8
Beira,20,MZ,1646454617,78,-19.8436,34.8389,77.09,4.61
Mossamedes,91,AO,1646454618,66,-15.1961,12.1522,72.28,4.99
Aswān,0,EG,1646454618,35,24.0934,32.907,58.3,5.75
Castro,100,BR,1646454619,94,-24.7911,-50.0119,62.83,2.28
Tetiz,27,MX,1646454620,77,20.9667,-89.9333,77.09,5.95
Kyenjojo,82,UG,1646454620,59,0.6328,30.6214,67.39,0.76
Provideniya,100,RU,1646454621,74,64.3833,-173.3,23.11,8.95
Bend,75,US,1646454462,73,44.0582,-121.3153,35.82,5.99
Skegness,100,GB,1646454621,89,53.1436,0.3363,41.77,22.64
Salinópolis,100,BR,1646454622,88,-0.6136,-47.3561,77.31,8.16
Carbondale,0,US,1646454570,68,37.7273,-89.2168,55.74,6.91
Quatre Cocos,75,MU,1646454623,83,-20.2078,57.7625,80.71,13.71
Conde,75,BR,1646454447,94,-7.2597,-34.9075,76.46,3.44
Lompoc,100,US,1646454623,73,34.6391,-120.4579,53.13,30.0
Jupiter,0,US,1646454624,73,26.9342,-80.0942,75.0,8.99
Yerbogachën,100,RU,1646454625,90,61.2767,108.0108,10.63,8.99
Hamilton,0,US,1646454540,46,39.1834,-84.5333,46.09,4.61
Carnarvon,0,AU,1646454626,21,-24.8667,113.6333,102.27,12.66
Balkhash,100,KZ,1646454626,100,46.844,74.9804,29.01,13.42
Kaitangata,100,NZ,1646454627,69,-46.2817,169.8464,64.17,5.84
Grand Gaube,53,MU,1646454627,89,-20.0064,57.6608,81.0,4.0
Middelburg,100,ZA,1646454628,67,-25.7751,29.4648,65.57,10.56
Anchorage,100,US,1646454603,54,61.2181,-149.9003,45.05,18.41
Chui,95,UY,1646454629,94,-33.6971,-53.4616,71.33,5.68
Yumen,64,CN,1646454629,21,40.2833,97.2,47.26,20.29
Jacala,31,MX,1646454630,92,21.0167,-99.1833,54.99,1.14
Guarapari,1,BR,1646454630,92,-20.6667,-40.4975,76.89,6.55
Kavieng,100,PG,1646454631,72,-2.5744,150.7967,84.22,6.58
Bykovo,75,RU,1646454631,64,55.6361,38.0803,32.41,13.42
Vila Franca do Campo,89,PT,1646454632,93,37.7167,-25.4333,62.2,3.85
Carupano,88,VE,1646454632,89,10.6678,-63.2585,74.08,8.66
Pijijiapan,8,MX,1646454633,71,15.7011,-93.23,75.51,4.32
Cartagena,40,CO,1646454633,78,10.3997,-75.5144,80.22,11.5
Saint Anthony,75,US,1646454620,60,45.0205,-93.218,34.3,11.5
Uray,100,RU,1646454634,93,60.1247,64.7758,9.21,9.82
Arló,96,HU,1646454635,75,48.1833,20.2667,30.97,2.8
Manta,100,EC,1646454635,94,-0.95,-80.7333,76.78,2.3
Biak,94,ID,1646454636,78,-0.9131,122.8766,81.7,2.3
Pasni,100,PK,1646454636,57,25.2631,63.471,74.25,6.89
Atar,0,MR,1646454637,45,20.5169,-13.0499,61.56,11.05
Vostok,100,RU,1646454637,82,46.4856,135.8833,31.1,20.56
Stornoway,26,GB,1646454638,85,58.2093,-6.3865,37.04,4.61
Tabas,0,IR,1646454638,26,33.5959,56.9244,62.37,6.49
Kloulklubed,91,PW,1646454638,75,7.0419,134.2556,79.3,6.49
Mitchell,0,US,1646454639,80,43.7094,-98.0298,33.78,9.22
Baruun-Urt,1,MN,1646454640,46,46.6806,113.2792,22.33,12.84
Cangzhou,0,CN,1646454640,12,38.3167,116.8667,48.02,9.17
Poum,69,NC,1646454641,70,-20.2333,164.0167,82.76,7.18
Teya,33,RU,1646454641,80,60.3778,92.6267,14.07,8.46
Dalvik,75,IS,1646454642,83,65.9702,-18.5286,35.53,11.45
Williams Lake,40,CA,1646454403,64,52.1415,-122.1445,33.37,5.75
Nuevitas,83,CU,1646454642,77,21.5453,-77.2644,72.84,13.29
La Ronge,100,CA,1646454643,67,55.1001,-105.2842,10.65,3.44
Ixtapa,0,MX,1646454643,82,20.7,-105.2,70.23,1.01
Leningradskiy,99,RU,1646454644,98,69.3833,178.4167,-7.53,5.08
Anito,32,PH,1646454644,77,12.4497,125.2886,82.63,9.1
Kasongo,56,CD,1646454645,91,-4.45,26.6667,67.62,2.3
Pontianak,75,ID,1646454557,74,-0.0333,109.3333,85.98,4.61
Haines Junction,100,CA,1646454646,73,60.7522,-137.5108,19.35,1.14
Katsuura,0,JP,1646454646,52,35.1333,140.3,63.19,27.49
Souillac,75,MU,1646454647,83,-20.5167,57.5167,80.98,8.05
Olafsvik,86,IS,1646454647,84,64.8945,-23.7142,39.99,13.71
Port Hardy,100,CA,1646454648,81,50.6996,-127.4199,42.8,9.22
Nurota,100,UZ,1646454648,62,40.5614,65.6886,50.09,10.22
Novikovo,100,RU,1646454649,96,51.1537,37.8879,27.0,15.79
Husavik,44,IS,1646454649,82,66.0449,-17.3389,35.51,15.14
Two Hills,94,CA,1646454650,96,53.7169,-111.7518,13.08,1.66
Burns Lake,39,CA,1646454650,96,54.2331,-125.7533,26.02,3.04
Mitú,93,CO,1646454612,99,1.1983,-70.1733,70.52,1.79
Rodeo,2,US,1646454651,72,38.033,-122.2669,49.95,14.0
Pisco,0,PE,1646454651,88,-13.7,-76.2167,70.02,8.05
Mount Isa,34,AU,1646454652,14,-20.7333,139.5,103.77,5.75
Dondo,48,MZ,1646454653,86,-19.6094,34.7431,76.51,4.88
Ardahan,89,TR,1646454653,99,41.1087,42.7022,3.0,2.8
Talnakh,38,RU,1646454654,93,69.4865,88.3972,-23.8,2.19
La Libertad,100,EC,1646454654,79,-2.2333,-80.9,77.68,6.53
Belém,40,BR,1646454219,100,-1.4558,-48.5044,75.24,2.3
Nabire,100,ID,1646454655,74,-3.3667,135.4833,81.0,2.21
Abalak,100,RU,1646454655,93,58.1286,68.5944,17.17,7.54
Linda,75,US,1646454655,81,39.1277,-121.5508,50.61,8.05
Jalu,33,LY,1646454656,33,29.0331,21.5482,56.03,8.97
Saint-Jovite,96,CA,1646454573,92,46.1186,-74.5966,12.94,1.14
Hirara,75,JP,1646454656,73,24.8,125.2833,73.26,10.36
Bubaque,73,GW,1646454657,72,11.2833,-15.8333,76.64,9.86
Bowmore,72,US,1646454657,63,34.9421,-79.3031,55.69,5.7
Vysokogornyy,100,RU,1646454658,85,50.1167,139.15,20.5,9.33
Goth Phulji,76,PK,1646454658,22,26.8825,67.6807,79.34,4.94
Kupang,52,ID,1646454659,75,-10.1667,123.5833,84.61,6.67
Upernavik,72,GL,1646454659,91,72.7868,-56.1549,-7.15,8.28
Bedēsa,23,ET,1646454660,25,8.9,40.7833,67.14,5.53
Loreto,67,MX,1646454660,44,22.2667,-101.9667,64.94,8.14
Colquechaca,26,BO,1646454661,88,-18.6667,-66.0167,35.4,4.0
Knysna,0,ZA,1646454662,79,-34.0363,23.0471,59.38,3.02
Atambua,93,ID,1646454662,73,-9.1061,124.8925,82.63,4.85
Margate,100,GB,1646454663,93,51.3813,1.3862,42.69,5.99
Firozpur,9,IN,1646454664,31,30.9167,74.6,64.62,7.65
Aklavik,9,CA,1646454664,97,68.2191,-135.0107,14.83,5.35
Okha,94,RU,1646454665,89,53.5739,142.9478,20.23,5.23
Booué,93,GA,1646454666,97,-0.0921,11.9385,71.73,0.25
Bilibino,39,RU,1646454666,96,68.0546,166.4372,-9.67,3.67
Adrar,0,MR,1646454667,40,20.5022,-10.0711,59.45,12.21
Fortuna,100,US,1646454667,90,40.5982,-124.1573,43.66,8.05
Karratha,2,AU,1646454667,41,-20.7377,116.8463,93.4,11.21
Severo-Kuril'sk,94,RU,1646454668,77,50.6789,156.125,29.48,12.39
Peterhead,1,GB,1646454668,81,57.5058,-1.7981,36.57,15.93
Doka,81,SD,1646454669,41,13.5167,35.7667,79.92,10.04
Isangel,14,VU,1646454670,69,-19.55,169.2667,83.34,5.93
Kahului,40,US,1646454391,77,20.8947,-156.47,75.22,10.36
Mwingi,74,KE,1646454670,62,-0.9344,38.0601,69.8,1.34
Powell River,6,CA,1646454423,83,49.8496,-124.5361,46.4,11.3
Nerchinskiy Zavod,62,RU,1646454671,65,51.3088,119.61,18.68,5.53
Airai,100,TL,1646454671,65,-8.9266,125.4092,74.44,1.63
Lieksa,97,FI,1646454637,98,63.3167,30.0167,8.44,1.88
Phang Nga,53,TH,1646454672,63,8.4509,98.5298,89.98,0.51
Prince Rupert,0,CA,1646454673,93,54.3161,-130.3201,40.69,11.5
Porlamar,43,VE,1646454673,83,10.958,-63.8491,78.89,13.8
Capinota,64,BO,1646454674,74,-17.7167,-66.2333,65.61,4.23
Réo,75,BF,1646454675,18,12.3167,-2.4667,75.61,7.74
Beloha,33,MG,1646454675,78,-25.1667,45.05,78.96,10.2
Al Bardīyah,30,LY,1646454678,61,31.7561,25.0865,55.33,10.69
Khani,100,GE,1646454679,81,41.9563,42.9566,27.97,3.56
Bengkulu,67,ID,1646454680,68,-3.8004,102.2655,84.99,7.65
Basoko,42,CD,1646454680,90,1.2391,23.616,70.99,3.0
Gillette,100,US,1646454681,91,44.2911,-105.5022,26.24,16.11
Hanna,92,CA,1646454681,86,51.6334,-111.9018,9.32,3.0
Terrace,20,CA,1646454682,86,54.5163,-128.6035,33.71,3.44
Taoudenni,0,ML,1646454682,10,22.6783,-3.9836,63.37,6.73
Bārmer,0,IN,1646454683,23,25.75,71.3833,78.13,6.49
Norman Wells,20,CA,1646454683,78,65.282,-126.8329,5.04,3.44
Hualmay,100,PE,1646454684,76,-11.0964,-77.6139,73.0,7.92
Manado,40,ID,1646454684,66,1.487,124.8455,90.37,6.91
Kenai,100,US,1646454462,83,60.5544,-151.2583,36.09,5.75
Ishioka,0,JP,1646454685,28,36.1833,140.2667,64.33,7.9
Mangai,62,CD,1646454685,99,-4.05,19.5333,69.96,1.99
Tacoronte,100,ES,1646454686,79,28.4769,-16.4102,58.17,21.99
Saskylakh,98,RU,1646454686,97,71.9167,114.0833,-23.12,1.07
Nuuk,40,GL,1646454687,63,64.1835,-51.7216,25.41,17.27
Ambon City,40,ID,1646454688,74,-3.6954,128.1814,84.34,8.05
Ormara,98,PK,1646454688,54,25.2088,64.6357,75.15,7.0
Kashgar,75,CN,1646454689,20,39.4547,75.9797,49.21,4.47
Grindavik,75,IS,1646454689,93,63.8424,-22.4338,36.07,12.66
Mariehamn,0,AX,1646454690,93,60.0973,19.9348,19.26,2.3
Pachino,97,IT,1646454691,76,36.7186,15.0907,48.24,8.84
Pandan,66,PH,1646454691,75,14.0453,124.1694,82.13,12.53
Nishihara,20,JP,1646454692,68,26.1842,127.7558,74.86,12.66
Coachella,0,US,1646454692,52,33.6803,-116.1739,64.35,6.91
Médéa,100,DZ,1646454693,93,36.2642,2.7539,39.65,5.06
Ostrovnoy,80,RU,1646454693,90,68.0531,39.5131,8.55,12.15
Kluczbork,100,PL,1646454694,90,50.9728,18.2182,28.98,4.07
Senador Pompeu,94,BR,1646454694,89,-5.5881,-39.3717,72.16,1.95
Beringovskiy,100,RU,1646454694,88,63.05,179.3167,6.8,10.25
Tura,67,IN,1646454695,21,25.5198,90.2201,81.54,7.11
Tateyama,20,JP,1646454696,44,34.9833,139.8667,66.02,23.02
Te Anau,100,NZ,1646454696,40,-45.4167,167.7167,71.42,6.42
Daru,59,PG,1646454697,78,-9.0763,143.2092,83.43,8.5
Gemena,43,CD,1646454698,96,3.25,19.7667,68.45,1.9
Buford,0,US,1646454698,61,34.1207,-84.0043,62.47,6.91
Katherine,14,AU,1646454699,41,-14.4667,132.2667,100.72,3.44
Hanzhong,96,CN,1646454699,22,33.0728,107.0303,66.87,3.74
Stavern,62,NO,1646454676,95,59.0,10.0333,32.36,13.53
Ossora,100,RU,1646454700,84,59.2353,163.0719,14.02,6.44
Taksimo,29,RU,1646454701,75,56.3444,114.8794,6.78,2.39
Jeypore,96,IN,1646454701,20,18.85,82.5833,86.77,5.39
Jiaocheng,14,CN,1646454702,49,24.6774,116.1389,84.22,1.72
Caravelas,7,BR,1646454702,87,-17.7125,-39.2481,75.33,4.76
Carutapera,100,BR,1646454703,94,-1.195,-46.02,75.67,4.61
San Andrés,20,CO,1646454704,78,12.5847,-81.7006,80.62,12.66
Vikhorevka,100,RU,1646454704,86,56.1201,101.1636,20.79,10.89
Xapuri,100,BR,1646454705,94,-10.6517,-68.5044,73.24,2.42
Varhaug,27,NO,1646454705,81,58.6147,5.6457,34.86,10.29
Broken Hill,19,AU,1646454706,33,-31.95,141.4333,76.71,18.41
Bandarbeyla,58,SO,1646454706,62,9.4942,50.8122,78.24,15.77
Braniewo,6,PL,1646454706,77,54.3797,19.8196,28.42,7.85
Quixadá,100,BR,1646454612,94,-4.9714,-39.0153,72.27,2.33
Ancud,54,CL,1646454707,85,-41.8697,-73.8203,50.23,4.59
Arrondissement de Mont-de-Marsan,100,FR,1646454708,93,44.0,-0.6667,45.21,5.75
Tavricheskoye,100,RU,1646454708,89,54.5851,73.6395,17.51,5.01
Makakilo City,100,US,1646454708,63,21.3469,-158.0858,75.52,9.22
Cascais,67,PT,1646454709,59,38.6979,-9.4215,52.93,24.0
Santa Margherita Ligure,86,IT,1646454710,53,44.3346,9.212,48.97,1.99
Price,100,US,1646454710,100,39.5994,-110.8107,39.18,8.05
Pangai,75,TO,1646454711,65,-19.8,-174.35,84.31,4.61
Byron Bay,49,AU,1646454711,79,-28.65,153.6167,84.06,6.46
São José da Coroa Grande,74,BR,1646454712,86,-8.8978,-35.1478,77.59,8.37
Los Llanos de Aridane,75,ES,1646454712,76,28.6585,-17.9182,58.75,21.85
Vila do Maio,0,CV,1646454713,69,15.1333,-23.2167,68.79,23.06
Kandalaksha,100,RU,1646454713,98,67.162,32.4123,12.11,4.32
Kununurra,81,AU,1646454714,41,-15.7667,128.7333,100.38,11.5
Itarema,99,BR,1646454714,85,-2.9248,-39.9167,77.31,7.09
Ahipara,77,NZ,1646454715,57,-35.1667,173.1667,73.33,10.4
Itoman,20,JP,1646454715,68,26.1247,127.6694,75.58,12.66
Gazojak,98,TM,1646454715,54,41.1875,61.4036,48.76,20.58
Ilhéus,100,BR,1646454716,90,-14.7889,-39.0494,74.1,3.27
Calabar,88,NG,1646454717,91,4.9517,8.322,76.06,0.78
Bud,100,US,1646454717,57,39.447,-86.1758,47.68,9.06
Havelock,72,US,1646454541,77,34.8791,-76.9013,50.23,1.01
Saint-Joseph,100,RE,1646454718,82,-21.3667,55.6167,79.18,12.62
Touros,80,BR,1646454718,85,-5.1989,-35.4608,77.9,7.67
Faanui,16,PF,1646454719,73,-16.4833,-151.75,81.63,16.71
Edd,64,ER,1646454719,35,13.9297,41.6925,81.36,14.97
Tual,100,ID,1646454720,79,-5.6667,132.75,82.31,9.53
Itupiranga,99,BR,1646454720,96,-5.1347,-49.3267,73.72,2.48
Vokhma,96,RU,1646454721,91,58.9303,46.7586,21.0,11.07
Mugur-Aksy,100,RU,1646454721,53,50.35,90.5,21.72,3.51
Pangnirtung,100,CA,1646454722,81,66.1451,-65.7125,-5.84,4.68
Sørland,100,NO,1646454722,74,67.667,12.6934,39.99,19.24
Valparaíso,0,CL,1646454627,75,-33.0393,-71.6273,63.48,4.61
Omsukchan,100,RU,1646454723,97,62.5333,155.8,-4.05,5.77
Kukuna,8,SL,1646454724,81,9.4,-12.6667,73.18,1.41
Chumikan,100,RU,1646454724,73,54.7183,135.315,15.71,5.17
Dzhebariki-Khaya,97,RU,1646454725,86,62.2167,135.8,8.04,0.36
Jatiroto,80,ID,1646454726,68,-7.8833,111.1167,84.76,8.88
Aden,46,YE,1646454681,60,12.7794,45.0367,77.92,18.88
Sasovo,100,RU,1646454726,84,54.3537,41.9199,26.37,18.16
Alofi,98,NU,1646454727,83,-19.0595,-169.9187,82.29,6.91
